Title,Genre,Plot,Is the movie primarily a love story or romance?,Does the plot revolve around family dynamics or drama?,Is there a significant element of friendship in the movie?,Is the movie set in a rural village?,Is there a major focus on social or political issues?,Does the movie feature a strong female lead character?,Is the protagonist seeking revenge as part of the story?,Is there a supernatural or fantasy element in the plot?,Is the movie set during a historical period?,Does the plot involve a wedding or marriage as a central theme?,Is there a significant action or crime-related element in the movie?,Is the movie a biopic or based on true events?,Does the film involve a journey or travel as part of the story?,Is the movie known for its music or significant song sequences?,Does the movie take place in a metropolitan city or urban setting?
Trishagni,"Drama, Romance","The film, which won the 1988 National Film Award for Best First Film of a Director for its ""excellent exploration of complex philosophical theme for the first time in Indian cinema,"" is set in the Buddhist town of Sariput in the desert of Central Asia in the 1st century B.C. The town is struck by a devastating sand storm that leaves behind only four survivors: two monks and two children taking refuge in the monastery. Twenty years later, the monks have become old, while the boy and the girl have grown and fallen in love. The jealous monk deceitfully persuades the boy into becoming a monk, yet the girl wins him back, as a result both are expelled from the monastery, and that is when the sandstorm strikes once again..",Yes,No,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No
Shukriyaa,"Drama, Romance","Young and playful Neema's prank with a live electric wire kills her mother, and leaves her dad, Dayal, angered and devastated by Neema and his wife's death respectively. Dayal begins to resent his daughter so much so that he cannot stand the sight of her. Neema grows up to be nervous and insecure young woman, klutz-like, and terrified of her father. Things change for the better , when she meets the owner of a restaurant, Ajay Singh, and both fall in love w When Dayal comes to know of this, his anger knows no bounds, and he forbids her to ever see Ajay again. When Ajay finds out about Dayal's plan to marry Neema elsewhere, he is determined to marry Neema at all costs - and so is Neema, who now seems to have given up her timidity. What Neema does not know is that Ajay does not love her - all he is interested is humiliating and possibly killing Dayal - to set right a devastating incident that changed his life forever when he was a child. Will Ajay be able to carry out his deadly task?",Yes,Yes,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No
Kasam,"Action, Drama","Mangal Singh is the head of a village that gets it's revenue by selling cocaine. When Police Inspector Kisna finds out he goes to live incognito with the villagers to try and talk them out of dealing with drugs. He meets and falls in love with Mangal's daughter, Savi, and gets married to her.",No,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No
Charanon Ki Saugandh,"Action, Drama, Romance","Charanon Ki Saugandh is a 1988 Hindi-language Indian feature film directed by K. Bapaiah, starring Mithun Chakraborty, Amrita Singh, Nirupa Roy, Prem Chopra, Kader Khan, Shakti Kapoor, Raj Kiran and Kader Khan.",No,Yes,No,No,No,Yes,Yes,No,No,No,Yes,No,No,Yes,No
Salaam Bombay!,"Crime, Drama","After destroying his older brother's motorbike in retaliation for his constant bullying, 11-year-old Krishna is sent to a traveling circus to earn money to pay for the bike's repairs, but soon winds up in the streets of Bombay's poorest slums. There, he befriends the drug dealer Chillum and young prostitute Sola Saal, while trying to make enough money at a neighborhood tea stall to repay his debt to his family.",No,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,No,Yes,Yes,Yes
Waaris,Drama,"Multi-millionaire's unequal division of property causes family feud. One son kills father, goes to jail. Years later, grandson murdered by other son's offspring over land dispute. Widow seeks heir through remarriage to secure inheritance.",No,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No
Veerana,"Action, Drama, Horror","A beautiful young girl, possessed from childhood by a vengeful spirit, wanders around lonely places to seduce and kill people and thus, gradually becomes lost in a dark world of revenge and lust.",No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No
Aaj Ke Angaarey,"Music, Action","Vidya is a school-teacher in Love Dale High School, and has approximately 12 children in her classroom. One day they decide to participate in a inter-school competition and travel out of town. Their bus is stopped by a group of masked men, and all of them are taken captive, held for ransom in an isolated location.",No,No,Yes,No,No,Yes,No,No,No,No,Yes,No,Yes,Yes,No
Sherni,"Drama, Action","Durga takes up arms to protect her fellow villagers from a vicious thug who's been terrorizing them. As one of India's most wanted outlaws, Durga finds herself on the opposite side of the law from the man she loves.",No,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No
Kabzaa,"Action, Crime, Drama","Ranjit Verma is lawyer to criminal Veljibhai who gets involved with Ranjit's brother, Ravi. Veljibhai, with the help of Ravi, tries to steal the property of Ustad Ali.",No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No
Mohabbat Ke Dushman,"Action, Thriller","Rehmat Khan (Raaj Kumar) is the wise leader of a tribe of frontiersmen. After the malevolent leader of a neighboring tribe (Amrish Puri) kidnaps the beautiful Shama (Hema Malini), the woman escapes and seeks refuge in Khan's camp. When Khan falls for her, their love threatens to spark a bloody tribal war in this drama from Prakash Mehra. The Kalyanji-Anandji soundtrack features ""Allah Kare Maula Kare"" and ""Bahut Kat Chuka Hai.""",No,No,No,No,Yes,Yes,No,No,No,No,Yes,No,No,Yes,No
Shoorveer,Drama,"The story revolves around the pain of children that parents have, even adopted ones in India. Shankar, played by Danny, is a small-time crook who is given number one by gang leader (Kader Khan), though his accomplice No. 7, who uses him and gets him embroiled in a false murder. Shankar who deeply loves his wife Nanda (Deepti Naval) and daughter Meena (Mandakini), is devastated when he finds out that his newborn son has an incurable fever; he rushes to Dr. S. Malhotra (Suresh Oberio), who refuses to treat his son out of turn--and the baby dies. Full of vengeance, Shankar abducts the doctor's son Shoorveer and hands him to Iqbal to maim and make a beggar. Iqbal is saved in epilepsy by Shoorveer, who then brings him up as his own son.",No,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,No,Yes
Ram Avtar,"Drama, Adventure",Ram and Avtar are both childhood best friends. The difference between the two friends is that Ram would willingly make priceless sacrifice for his friend; the time when both are separated is when Ram goes abroad to further his studies. In the mean while Avtar takes up employment in an organization run by Sangeeta. Avtar is romantically attracted to Sangeeta but Sangeeta falls in love with Ram; when Ram gets to know that Avtar is in love with Sangeeta he decides to sacrifice his love for his friend sake by getting Avtar married to Sangeeta. But one of Sangeeta's enemies Gundappaswami is willing to expose Ram and Sangeeta's relationship to Avtar.,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,No,No,Yes,No,Yes
Khatron Ke Khiladi,Action,"Honest truck driver Balwant watch helplessly as the owners of the trucking company he works for mauled his brother, Jaswant to death. When he lodges a complaint with the police the inspector instead arrest him for this crime; the trucking company owners then burn his house killing his pregnant wife Sumati. Years later Balwant who now calls himself Karamvir operates a court called 'Teesri Adalat' by sentencing wrong-doers to death in a judge and executer style. However he is unaware that Sumati is still alive and has given birth to twins Rajesh and Mahesh; while Mahesh was separated at birth and grows up with Inspector Ram Avtar and his wife - Rajesh is taking care of his mother as she loses her mental balance in the trauma. Rajesh and Mahesh do get to unite as the girls they are in love with are link to each other. After a few misjudgments of situations at hand Rajesh and Mahesh decides that they will bring Teesri Adalat to the court of law - at any cost.",No,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No
Hatya,"Drama, Action","After the passing away of his wife, Sheila, and child, Raja, Sagar takes to drinking as well as singing and dancing at weddings and special occasions. Intoxicated heavily after one such event, he comes across a young male child lying in a garbage can, and takes him home. He subsequently comes to know that the child, who he decides to name Raja, is deaf-mute since birth, and decides to adopt him. Sagar's life will be turned upside down when a wealthy businessman, Kailash Nath, files a police complaint alleging that Raja is his grandson, and Sagar may have abducted and killed Raja's mom. Tortured and held in a cell, Sagar does not know that Raja's life is in danger by killer(s) who believe Raja saw them commit a murder.",No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes
Main Zinda Hoon,Drama,"Beena, a villager married to a man in the city, is shocked to find that her husband has left the house. She begins to provide for the family, but faces issues when she falls in love with a co-worker.",No,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No
Zulm Ko Jala Doonga,Action,A reputed doctor arrives in a village and instantly gains the love and respect of all villagers because of his cordial nature and selfless services. But everyone turns against him when he befriends a rebelious untouchable named Haria and his wife.,No,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No
Kabrastan,Horror,"A married man has an affair with a married woman in this woman's house. When the woman's husband unexpectedly shows up with a bottle of acid, which he plans to throw on his wife's face, disfiguring her for life. The woman's lover quickly responds by taking out a gun and shooting at the bottle of acid, which is smashed and lands on the husband's face, disfiguring him. The man then shoots the husband, until he is dead. Both the woman and the man, bury the dead, disfigured body, and go about their respective tasks, not knowing that they have unleashed an unstoppable evil force that will spring forth to bring death and destruction to the man, his brothers, and his wife.",No,Yes,No,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No
Aakhri Adaalat,"Action, Crime",Inspector Amar Kaushal attempts to incarcerate wrong-doers in his society only lead to frustration when they are let off by the incompetence of the law and his superiors and seniors. Eventually Amar stands accused of killing several criminals and innocents which prompts him to take law into his own hands.,No,No,No,No,Yes,No,Yes,No,No,No,Yes,No,No,No,Yes
Rukhsat,Romance,"Arjun Rai lives a poor lifestyle in Bombay, and works as an auto mechanic for a living. He and wealthy Sapna are in love with each other, much to the chagrin of Sapna's dad, who wants her to get married to someone wealthy. Arjun decides to buy his own garage and borrows money from a client, Jagdish Chopra. He works hard and is able to save some money. When he goes to propose for Sapna's hand, her dad asks his watchmen to throw him out, while doing so they find out he was armed, as a result police are summoned and he is arrested. Sapna re-locates to the U.S. to stay with her aunt, who subsequently convinces her to get married to Gautam Saigal.",Yes,Yes,No,No,No,Yes,No,No,No,Yes,No,No,Yes,No,Yes
Ek Naya Rishta,Romance,"Womazing and alcoholic Rajiv Tandon lives a wealthy lifestyle with his widowed industrialist dad, Shankardayal in a palatial house. When his dad unexpectedly passes away, he wills that all his wealth and money will only be inherited by Rajiv after he gets birth to a son within 18 months of his passing. Rajiv is not interested in marriage, nor in any permanent relationship with any woman, and is prepared to re-distribute his dad's wealth amongst their relatives. When he takes note of their greed, he decides to give birth to a heir as per his dad's wishes. The only problem is that he does not want to marry but just have a sexual relationship with a woman, who must give birth to a child, and then leave his life forever. After a long search he comes across Aarti Saxena, who he would like to have his child with. She refuses initially, but when financial crisis threaten her, she agrees to this relationship. Rajiv accepts, even though Aarti's profession is that of a call-girl and escort. He arranges for her in live in comfort, has a car and servants for her disposal. Soon she gets pregnant. Shortly before giving birth, she writes to Rajiv, breaking off their understanding, and leaving for an unknown destination. The question is, with her gone, so is the avenue to Rajiv's inheritance, and the easy and selfish life he has been accustomed to.—rAjOo (gunwanti@hotmail.com)",No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes
