title,genre,plot,release_date,directors,"is the movie either drama, adventure, or music?","is the movie either romance, mystery, or history?","is the movie either action, horror, or documentary?","is the movie either comedy, family, or fantasy?",is the movie released in the 2010s or 1990s?,"is the movie released in the 2020s, 2000s, or 1980s?","is the movie released in the 1970s, 1960s, 1950s, 1940s, 1930s, or 1920s?","is the movie directed by david dhawan, mahesh bhatt, ram gopal varma, vikram bhatt, or priyadarshan?","is the movie directed by rama rao tatineni, k. bapaiah, ram gopal varma, vikram bhatt, or david dhawan?","is the movie directed by shantaram rajaram vankudre, mehboob khan, hrishikesh mukherjee, bimal roy, or adoor gopalakrishnan?",imdb_id,cast,"Does the movie feature any of these actors: Mithun Chakraborty, Akshay Kumar, Ajay Devgn, Govinda, or Jackie Shroff?","Is one of these actors in the movie: Mithun Chakraborty, Amitabh Bachchan, Sanjay Dutt, Jeetendra, or Raj Babbar?","Does the cast include any of these actors: Ashok Kumar, Dev Anand, Raj Kapoor, Vyjayanthimala, or Meena Kumari?"
Maan Gaye Ustaad,['Drama'],Farmer Chandan Singh lives a simple in the village until his wife is molested by a local goon,1981-01-01,['Shibu Mitra'],Yes,No,No,No,No,Yes,No,No,No,No,tt0243396,"Amjad Khan, Pran Sikand, Shashi Kapoor",No,No,No
Saajan Bina Suhagan,"['Crime', ' Drama', ' Family']","Asha lives a poor lifestyle along with her widowed dad, is in love with aspiring doctor Raj Kumar, and hopes to marry him someday. When Raj announces that he is traveling abroad to study, she decides to wait for him, but her father, on his deathbed, makes her promise to marry Simla-based Gopal Chopra, who is the son of his friend, Shyamlal, to which Asha agrees. Gopal gets a promotion and re-locates to Bombay but continues to remain in touch with his family. Then the past is re-visited when Raj, now a doctor, comes to live in their neighborhood. Their idyllic lives are shattered when Raj is arrested for killing a man named Mangatram who was blackmailing Asha for hiding a secret from the rest of her family.",1981-01-01,['Saawan Kumar Tak'],Yes,No,No,Yes,No,Yes,No,No,No,No,tt0388387,"Shreeram Lagoo, Nutan, Vinod Mehra",No,No,No
Baseraa,['Romance'],Sharda recovers from the mental intitution after 14 years and comes to a family that is no longer the way she remembers.,1981-01-01,['Ramesh Talwar'],No,Yes,No,No,No,Yes,No,No,No,No,tt0300980,"Rakhee Gulzar, Rekha, Shashi Kapoor",No,No,No
Pyaasa Sawan,['Romance'],"Pointing to the proverb ""One man pretends to be rich, yet has nothing,"" this Bollywood romantic drama criticizes the priorities of a rich man when he marries his sweetheart and neglects her for his lucrative business affairs. When she runs home to her family, the rich man's father berates him for being too much like his old man. Will he learn his lesson and win her back? A repenting ballad or two may help.",1981-01-01,['Dasari Narayana Rao'],No,Yes,No,No,No,Yes,No,No,No,No,tt0262714,"Reena Roy, Vinod Mehra, Jeetendra",No,Yes,No
Jiyo To Aise Jiyo,"['Drama', ' Family']",Three brothers go through ups and downs in their lives after the death of their parents.,1981-01-01,['Kanak Mishra'],Yes,No,No,Yes,No,Yes,No,No,No,No,tt0392193,"Jayshree Gadkar, Arun Govil, Debashree Roy",No,No,No
Sansani: The Sensation,"['Horror', ' Crime', ' Drama', ' Thriller']","On a chilly foggy night two men alight from a train at an isolated railway station, and stay for a night at the Dak Bangla. One of these men is Ajay Sachdev, and the other is Prem Kumar Chopra. Shortly after their arrival, a series of brutal murders shake up the region. The mysteries behind these murders are compounded by the appearance of a white Saree-clad female apparition, which appears and disappears at will. And ghostly cries are heard from a nearby graveyard. The police are involved and their investigation results in the arrest of a suspect, Ajay, who had a motive, and was present during all the deaths, but they have no answers as to the apparition and the cries from the graveyard. Ajay is arrested, but subsequently escapes, leaving this small community fearing for their lives - both from Ajay - and the unknown horror that awaits each of them.—rAjOo (gunwanti@hotmail.com)",1981-01-01,['Irshad'],Yes,No,Yes,No,No,Yes,No,No,No,No,tt0479747,"Kavita, Bindiya Goswami, Vinod Mehra",No,No,No
Laparwah,"['Action', ' Drama', ' Adventure']",Reckless Shera is hired by prowler Johnny to execute his plan to earn money by marrying wealthy Thakur's daughter Sandhya.,1981-01-01,['Ravikant Nagaich'],Yes,No,Yes,No,No,Yes,No,No,No,No,tt0246033,"Mithun Chakraborty, Prem Bedi, Birbal",Yes,Yes,No
Nakhuda,"['Drama', ' Family', ' Romance']","Ravi Shankar lives in a shabby hotel room belonging to the owner of the Hotel ""Allah Belli"", Sheikhu Dada. Ravi studies in college and pays his rent and living expenses through money-orders sent to him from his dad. Ravi's devotion to the illiterate Shaikhoo Dada borders on worship, which doesn't sit well with his wife or her father, wealthy tycoon Seth Jaghannadh. When Seth drives a wedge between Ravi and Dada, Ravi risks everything to make things right.",1981-01-01,['Dilip Naik'],Yes,Yes,No,Yes,No,Yes,No,No,No,No,tt0341496,"Swaroop Sampat, Kulbhushan Kharbanda, Raj Kiran",No,No,No
The Deliverance,"['Drama', ' TV Movie']","When a poor and out-caste village tanner goes to village priest to get the date of his daughter's marriage fixed, the priest in turn asks for labor without pay in exchange.",1981-01-01,['Satyajit Ray'],Yes,No,No,No,No,Yes,No,No,No,No,tt0083018,"Om Puri, Mohan Agashe, Smita Patil",No,No,No
Chhuppa Chhuppi,['Comedy'],"Chhuppa Chhuppi is the hilarious, fun ? filled love story of a blundering detective William Bose and a mod runaway girl Rani. To escape being married to a ridiculous young man, Rani, daughter of rich parents in the city of Delhi, runs away form home and comes to Bombay, finally securing a job as secretary to an out of work, blundering private detective William Bose. Rani?s parents, as chance would have it, employ the same detective to search for their missing daughter,. Rani is too clever to be caught by her innocent and blundering employer, and she easily manages to change the photograph of the runaway girl which her parents have posted to the detective, thus putting him off on a wrong trail and not letting him suspect that the very girl who works with him throughout the day is the object of his search. But his simplicity golden- heartedness and good nature make Rani fall desperately in love with him.",1981-01-01,['Arun Jaitly'],No,No,No,Yes,No,Yes,No,No,No,No,tt2751046,"Indra Kumar, Helen, Aruna Irani",No,No,No
Ehsaan Aap Ka,['Romance'],"Ehsaan Aap Ka is a Hindi Feature Film starring Urmila Bhatt , Suresh Oberoi , Deepti Naval , Vijayendra Ghatge , and more. The movie is directed by S. Yusuf , and produced by Jay & Nihar.",1981-01-02,['S. Yusuf'],No,Yes,No,No,No,Yes,No,No,No,No,tt2679100,"Deepti Naval, Vijayendra Ghatge, Rakesh Pandey",No,No,No
Dhuan,"['Mystery', ' Thriller']","A stranger enters a widow's life claiming to be the brother of her dead husband, but she claims that he is a fraud and that her brother-in-law died three years earlier in a car accident.",1981-01-02,['Dulal Guha'],No,Yes,No,No,No,Yes,No,No,No,No,tt0215714,"Mithun Chakraborty, Rakhee Gulzar, Ranjeeta Kaur",Yes,Yes,No
Chapter One,['Drama'],"Ravi, a young man from a small village goes to the Bombay University and finds himself unable to relate to life in the city.",1981-01-08,['Vishnu Mathur'],Yes,No,No,No,No,Yes,No,No,No,No,tt0239793,"Dinesh Shakul, Madan Jain",No,No,No
Yaarana,"['Action', ' Romance']","Bishan loses his fortune while helping his friend Kishan in his singing career. Now successful, will Kishan return the favour?",1981-01-10,['Rakesh Kumar'],No,Yes,Yes,No,No,Yes,No,No,No,No,tt0083349,"Neetu Singh, Amitabh Bachchan, Tanuja Samarth",No,Yes,No
Aas Paas,"['Drama', ' Romance']","After her fiancé is killed in an accident, Seema becomes a bar dancer and is raped. When her fiancé miraculously returns, she learns that her rapist is his uncle.",1981-01-16,['J. Om Prakash'],Yes,Yes,No,No,No,Yes,No,No,No,No,tt0178203,"Prem Chopra, Dharmendra, Hema Malini",No,No,No
Waqt Ki Deewar,"['Action', ' Crime', ' Drama', ' Romance']","Cruel and lustful Thakur Dayal Singh (Amjad Singh) brutally rapes Sarla (Nazneen), forcing her to commit suicide, leaving her young children, Vikram and Munna, homeless. Vikram and Munna try to stay together but are separated. Years later Vikram (Sanjeev Kumar) has taken to a life of crime with Ranvir, who unknown to Vikram, is none other than Thakur Dayal Singh. While assisting his friend, Peter (Paintal) to meet with his future wife, Ruby (Preeti Ganguly), Vikram meets with the ravishing Priya (Sulakshana Pandit), and both fall in love with each other. Meanwhile Munna found a place in the home and heart of the devout and kind-hearted Sher Khan (Pran), who now calls him Amar Khan. Amar (Jeetendra) grows up to a diligent Police Inspector. His duties lead him to meet many thiefs and criminals, one of whom is the beautiful Soni (Neetu Singh). After a few misunderstandings both fall in love, and Soni pledges to give up her life of crime.",1981-01-23,['Ravi Tandon'],Yes,Yes,Yes,No,No,Yes,No,No,No,No,tt0360170,"Sanjeev Kumar, Shatrughan Sinha, Jeetendra",No,Yes,No
Bulundi,"['Action', ' Crime', ' Drama']",A college professor agrees to teach the son of a gangster and becomes a pawn in a deadly game.,1981-01-30,['Esmayeel Shroff'],Yes,No,Yes,No,No,Yes,No,No,No,No,tt0319121,"Helen, Raaj Kumar, Asha Parekh",No,No,No
Saajan Ki Saheli,"['Family', ' Drama']","Young and attractive Kunti has fallen in love with a young man by the name of Anil, and both intend to marry...",1981-01-30,['Saawan Kumar Tak'],Yes,No,No,Yes,No,Yes,No,No,No,No,tt0347920,"Rekha, Nutan, Rajendra Kumar Tuli",No,No,No
Krodhi,"['Action', ' Crime', ' Thriller']","Unaware of his parents, as he was abandoned as a young child, Vikramjit Singh alias Vicky grows up amidst hatred.",1981-02-03,['Subhash Ghai'],No,No,Yes,No,No,Yes,No,No,No,No,tt0214866,"Shashi Kapoor, Zeenat Aman, Dharmendra",No,No,No
Kranti,"['Action', ' Adventure', ' Drama', ' History']","The film takes place in 19th Century British India and is the story of the fight for independence from the British in the years spanning from 1825 to 1875. It tells the story of two men who led the war against British Rule, Sanga and Bharat both of whom call themselves Kranti.",1981-02-03,['Manoj Kumar'],Yes,Yes,Yes,No,No,Yes,No,No,No,No,tt0234054,"Manoj Kumar, Dilip Kumar, Shashi Kapoor",No,No,No
Professor Pyarelal,['Action'],"Kishinchand has taken to a life of crime, namely that of forging passports, and for that is under surveillance by the police. Upon his wife, Shanti's, and son, Pyarelal's insistence, he decides to give up all criminal activity and become honest. Then Shyamlal approaches him to make a fake passport, which he does, for a suitcase full of gold bars. Shyamlal escapes, but Inspector Shinde confronts Kishinchand and in the scuffle that follows, Shinde gets killed. Kishinchand re-locates to London, England, where he is now known as underworld Don, King.",1981-02-18,['Brij'],No,No,Yes,No,No,Yes,No,No,No,No,tt0158122,"R.S. Chopra, Zeenat Aman, Brahmachari",No,No,No
Barsaat Ki Ek Raat,"['Romance', ' Drama', ' Crime', ' Thriller']","In a small village in Darjeeling, Sahuji the merchant has weaved a web of corruption in every layers of the social fabric.  And he is also involved in rampant smuggling of goods across the border, and everyone from the local jeweler to the local police inspector are part of his intricate web.  While the father has created a position of influence by spreading corruption, his son Kaaliram has ushered in a reign of terror. Desperate villagers make a plea to the owner of the tea garden, who calls (presumably) the higher ups in police force and they promise to send someone.",1981-02-20,['Shakti Samanta'],Yes,Yes,No,No,No,Yes,No,No,No,No,tt0080376,"Amitabh Bachchan, Rakhee Gulzar, Amjad Khan",No,Yes,No
Shodh,"['Drama', ' Horror']","Surendra (Om Puri), having been exiled from his village in youth and established himself in the city, comes back to the news of his father's demise, reportedly at the hands of a phantom. He announces a prize for anyone who succeeds in showing him a ghost, which attracts the greed of the poor hungry peasants, resulting in the accusations of innocent people as haunted and even murders with the hope of producing a ghost.",1981-02-25,['Biplab Roy Chowdhury'],Yes,No,Yes,No,No,Yes,No,No,No,No,tt0267924,"Om Puri, Tapti Bhatachrjee, Kanhu Bandhopodhyay",No,No,No
Love Story,"['Drama', ' Romance']","Vijay is in love with Suman but she gets married to another man and eventually, he too marries another woman. Years later, their children happen to fall in love with each other.",1981-02-27,"['Rajendra Kumar Tuli', 'Rahul Rawail']",Yes,Yes,No,No,No,Yes,No,No,No,No,tt0234141,"Vijayata Pandit, Kumar Gaurav, Danny Denzongpa",No,No,No
Naram Garam,"['Drama', ' Comedy']","Ramprasad, a young man, lets his lover, Kusum, and her father stay at his boss's house. However, they find themselves in trouble when Kusum is pursued by many suitors, including his boss.",1981-02-28,['Hrishikesh Mukherjee'],Yes,No,No,Yes,No,Yes,No,No,No,No,tt0082796,"Swaroop Sampat, Amol Palekar, Utpal Dutt",No,No,No
The Age of Vice,['Drama'],"The film is tale of intrigue, plots and the inevitable war between the two families. Ramchand and Bhishamchand were two pioneering brothers in business. Bhishamchand, a lifelong bachelor brought up the two sons of Ramchand on his demise. He also gave the family business a firm foundation. Khubchand (Vinod Doshi) the elder son of Ramchand begets two sons, Dhanraj (Victor Banerjee) and Sandeepraj (Akash Khurana). Puranchand, Khubchand's younger brother had died a few years ago. His three sons are Dharamraj (Raj Babbar), Balraj (Kulbhushan Kharbanda) and Bharatraj (Anant Nag). Another player in the game is Karan (Shashi Kapoor) an orphan brought up by Bhishamchand.A series of events take place that bring the long hidden feud between the two families to light and despite Bhishamchand's efforts to mediate between the two, the situation gets out of hand and events take a tragic turn.",1981-03-05,['Shyam Benegal'],Yes,No,No,No,No,Yes,No,No,No,No,tt0080982,"Raj Babbar, Rekha, Shashi Kapoor",No,Yes,No
Hum Se Badkar Kaun,"['Thriller', ' Action', ' Drama']",Four young boys tragically separated from their parents and each other grow up to become four different men with divergent values and conflicting methods.  Fate eventually sets their paths for a head on collision.,1981-03-06,['Deepak Bahry'],Yes,No,Yes,No,No,Yes,No,No,No,No,tt0378069,"Mithun Chakraborty, Ranjeet Bedi, Birbal",Yes,Yes,No
Chehre Pe Chehra,"['Science Fiction', ' Horror', ' Drama', ' Romance']","Dr. Wilson is a humanitarian, and likes to believe that the worse part of a human can be separated and eliminated altogether, to this extent he experiments in various ways in his laboratory. One day he tries out a chemical solution on himself and lets his evil self, Blackstone, lose in bars, dark alleys, and with prostitutes. He is always able to control Blackstone, and comes home late at night to turn himself back to Dr. Wilson. Then things start to get out of control when Blackstone starts getting violent and killing people he dislikes, including Dr. Wilson; and Dr. Wilson finds Blackstone getting stronger, and out of his control, with a motive of taking over Dr. Wilson's life completely.",1981-03-13,['Raj Tilak'],Yes,Yes,Yes,No,No,Yes,No,No,No,No,tt0367595,"Sanjeev Kumar, Rekha, Vinod Mehra",No,No,No
